Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,EAS,71.20187914,71.57897995,71.95215037,72.30321695,72.64131941,72.96322808,73.23376157,73.51579403,73.76097782,73.98083231,74.20724353,74.38391549,74.54606546,74.74115423,74.91901498,75.08591768,75.24880585,75.40085776,75.55588441
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (excluding high income),EAP,70.22634591,70.59431268,70.97170367,71.34297134,71.69669831,72.02580502,72.32532622,72.59507692,72.84129067,73.07029659,73.28364889,73.4823447,73.66913485,73.84581764,74.01349101,74.17624122,74.33497357,74.49253256,74.64794925
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (IDA & IBRD countries),TEA,70.29731434,70.66242622,71.03413808,71.3994369,71.74887442,72.07595887,72.37557052,72.64681099,72.89435067,73.12349974,73.335636,73.53187396,73.71538372,73.88869261,74.05343078,74.21390768,74.37106401,74.527656,74.68240356
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Euro area,EMU,78.02123942,78.27507332,78.59711551,78.68446788,78.70718255,79.27870162,79.42628613,79.85613241,80.0998851,80.30291584,80.50518158,80.746781,81.23282147,81.22715131,81.51231497,81.93341724,81.56930856,81.94591276,81.9510376
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,ECS,72.90340337,73.06075145,73.32149233,73.43403523,73.54533935,73.97848143,74.14019764,74.63472133,74.99098399,75.24792697,75.64124799,75.92966904,76.44221412,76.58872537,76.90135466,77.21613637,77.1622033,77.49829675,77.64580996
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (excluding high income),ECA,67.57273982,67.63742728,67.77229338,67.84985528,67.98209951,68.30723336,68.443785,69.06596313,69.57572136,69.869713,70.46964794,70.77348453,71.34136454,71.66794802,72.06261291,72.26295997,72.54111038,72.86035301,73.17739785
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (IDA & IBRD countries),TEC,68.12057002,68.22797666,68.40463554,68.50308307,68.62955541,68.95288636,69.08564473,69.66492984,70.1313088,70.42363686,70.97926541,71.30083799,71.85333782,72.15200532,72.52984522,72.7625368,72.9968135,73.32380427,73.60714088
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,European Union,EUU,76.82582381,77.15842713,77.49405713,77.60673668,77.69438884,78.19377286,78.36573065,78.73979368,78.96912166,79.18395702,79.44311804,79.72563731,80.23986815,80.25121645,80.53223222,80.91931999,80.62057914,80.97469388,80.9919104
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fragile and conflict affected situations,FCS,56.3191173,56.55824415,56.83781804,57.16181796,57.52578999,57.92334607,58.34539122,58.78295015,59.22332043,59.65431131,60.06832409,60.46104161,60.83537658,61.19858033,61.55471865,61.90263235,62.2405421,62.56940239,62.8889571
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Heavily indebted poor countries (HIPC),HPC,51.76209005,52.20119216,52.70974289,53.28937259,53.93436257,54.63329619,55.37054588,56.1291451,56.88855783,57.62981792,58.33812485,59.00159342,59.61458962,60.18332479,60.71321088,61.20479335,61.65997345,62.08175389,62.47572339
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,High income,HIC,77.1888311,77.46320986,77.76054991,77.89959198,78.027247,78.43036056,78.52919607,78.8310451,79.0603414,79.20502498,79.47795927,79.65384343,79.889785,80.00872003,80.18534056,80.43795077,80.32768071,80.48509884,80.54614832
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IBRD only,IBD,67.92809278,68.24398961,68.56582741,68.87486042,69.1783772,69.49461847,69.78309246,70.1108133,70.42155962,70.710805,71.02243684,71.30415136,71.60002655,71.85943592,72.11387231,72.34111661,72.55622151,72.76995419,72.97151576
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA & IBRD total,IBT,65.35473305,65.65531289,65.96539472,66.27479798,66.59035251,66.924965,67.24538954,67.6013218,67.94625345,68.27341532,68.61379426,68.92401839,69.23731194,69.5160113,69.78464535,70.02657123,70.25343096,70.4740793,70.68145093
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA blend,IDB,55.14634668,55.28831167,55.49679697,55.77615612,56.11033134,56.50531585,56.94884784,57.4321447,57.93924431,58.45229232,58.95741046,59.44707019,59.90258032,60.31664642,60.69952566,61.05037178,61.37007175,61.66244827,61.93716526
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA only,IDX,56.14943559,56.5901723,57.06263652,57.56719915,58.11205245,58.68576909,59.2791027,59.88159353,60.48178852,61.06453132,61.61860723,62.1330488,62.60963441,63.05552471,63.47414213,63.86805549,64.23904036,64.58966602,64.92216053
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA total,IDA,55.81570176,56.15757257,56.54308719,56.9738258,57.45004786,57.96569683,58.51043022,59.07425486,59.64413954,60.20401591,60.741829,61.2473614,61.71612151,62.15095623,62.55714351,62.93619516,63.28970182,63.62071912,63.93393119
